Ref	Paire	Cible	n	rating.response_mean	rating.response_raw	rating.response_std	rating.rt_mean	rating.rt_raw	rating.rt_std	order	numPs
J	J A	A	1	0.00999999977648	0.00999999977648258	0	2.22099995613	2.22099995613098	0	32	1
K	K F	F	1	0.479999989271	0.479999989271164	0	1.45399999619	1.4539999961853	0	51	1
v	v i	i	1	0.319999992847	0.319999992847443	0	0.638000011444	0.638000011444092	0	54	1
n	n f	f	1	0.230000004172	0.230000004172325	0	0.686999976635	0.686999976634979	0	16	1
p	p i	i	1	0.340000003576	0.340000003576279	0	0.43900001049	0.439000010490417	0	60	1
C	C H	H	1	0.430000007153	0.430000007152557	0	0.887000024319	0.887000024318695	0	2	1
A	A L	L	1	0.639999985695	0.639999985694885	0	1.77199995518	1.77199995517731	0	26	1
Z	Z C	C	1	0.569999992847	0.569999992847443	0	0.555000007153	0.555000007152557	0	49	1
G	G N	N	1	0.490000009537	0.490000009536743	0	1.0039999485	1.00399994850159	0	9	1
f	f i	i	1	0.419999986887	0.419999986886978	0	1.13800001144	1.13800001144409	0	38	1
V	V G	G	1	0.52999997139	0.529999971389771	0	0.736999988556	0.736999988555908	0	34	1
v	v p	p	1	0.270000010729	0.270000010728836	0	0.638000011444	0.638000011444092	0	3	1
L	L U	U	1	0.319999992847	0.319999992847443	0	0.638000011444	0.638000011444092	0	8	1
p	p u	u	1	0.289999991655	0.28999999165535	0	0.703999996185	0.703999996185303	0	18	1
b	b d	d	1	0.379999995232	0.379999995231628	0	0.605000019073	0.605000019073486	0	69	1
d	d s	s	1	0.389999985695	0.389999985694885	0	0.754999995232	0.754999995231628	0	71	1
r	r g	g	1	0.270000010729	0.270000010728836	0	0.67199999094	0.671999990940094	0	29	1
u	u u	u	1	0.990000009537	0.990000009536743	0	1.37199997902	1.37199997901917	0	62	1
p	p b	b	1	0.449999988079	0.449999988079071	0	0.671000003815	0.671000003814697	0	48	1
d	d k	k	1	0.519999980927	0.519999980926514	0	1.13699996471	1.13699996471405	0	65	1
Z	Z S	S	1	0.319999992847	0.319999992847443	0	0.704999983311	0.704999983310699	0	47	1
q	q p	p	1	0.20000000298	0.200000002980232	0	0.67199999094	0.671999990940094	0	53	1
v	v o	o	1	0.25	0.25	0	1.2879999876	1.28799998760223	0	11	1
P	P P	P	1	0.639999985695	0.639999985694885	0	0.837999999523	0.837999999523163	0	25	1
