	Lettre1	Bloc	Paires	OrdreAlea	Lettre2	n	rating.response_mean	rating.response_raw	rating.response_std	rating.rt_mean	rating.rt_raw	rating.rt_std	order	numPs
5076	o	5	o m	0.521699684	m	1	0.050000001	0.050000001	0	1.452999949	1.452999949	0	18	G
5086	m	5	m a	0.978821319	a	1	0.25	0.25	0	3.885999918	3.885999918	0	19	G
5096	x	5	x k	0.564047389	k	1	0.059999999	0.059999999	0	1.319000006	1.319000006	0	20	G
5106	f	5	f b	0.30081562	b	1	0.180000007	0.180000007	0	2.484999895	2.484999895	0	21	G
51110	b	5	b n	0.8222117	n	1	0.059999999	0.059999999	0	2.038000107	2.038000107	0	22	G
5126	h	5	h e	0.408119225	e	1	0.059999999	0.059999999	0	0.902999997	0.902999997	0	23	G
5136	s	5	s j	0.314126547	j	1	0.059999999	0.059999999	0	0.952000022	0.952000022	0	24	G
5146	a	5	a b	0.162846381	b	1	0.059999999	0.059999999	0	1.488000035	1.488000035	0	25	G
5156	p	5	p m	0.636775465	m	1	0.059999999	0.059999999	0	1.036000013	1.036000013	0	26	G
5166	s	5	s w	0.222889998	w	1	0.029999999	0.029999999	0	2.585999966	2.585999966	0	27	G
5176	a	5	a s	0.246425433	s	1	0.119999997	0.119999997	0	2.637000084	2.637000084	0	28	G
5186	a	5	a f	0.734688601	f	1	0.310000002	0.310000002	0	2.436000109	2.436000109	0	29	G
5196	f	5	f h	0.602063576	h	1	0.469999999	0.469999999	0	4.835000038	4.835000038	0	30	G
5206	a	5	a y	0.633568363	y	1	0.150000006	0.150000006	0	4.519999981	4.519999981	0	31	G
52110	n	5	n h	0.891821667	h	1	0.280000001	0.280000001	0	2.91899991	2.91899991	0	32	G
5226	z	5	z j	0.853193578	j	1	0.02	0.02	0	1.468999982	1.468999982	0	33	G
5236	u	5	u t	0.981767927	t	1	0.109999999	0.109999999	0	2.036999941	2.036999941	0	34	G
5246	f	5	f f	0.710565733	f	1	0.99000001	0.99000001	0	1.886999965	1.886999965	0	35	G
5256	u	5	u a	0.315379196	a	1	0.349999994	0.349999994	0	2.086999893	2.086999893	0	36	G
5266	g	5	g o	0.57677493	o	1	0.029999999	0.029999999	0	2.203999996	2.203999996	0	37	G
5276	v	5	v u	0.945217102	u	1	0.039999999	0.039999999	0	2.069000006	2.069000006	0	38	G
5286	v	5	v o	0.23395835	o	1	0.039999999	0.039999999	0	0.552999973	0.552999973	0	39	G
5296	r	5	r w	0.792947313	w	1	0.039999999	0.039999999	0	2.069999933	2.069999933	0	40	G
5306	x	5	x z	0.884074239	z	1	0.039999999	0.039999999	0	1.868999958	1.868999958	0	41	G
5316	d	5	d h	0.999024707	h	1	0.360000014	0.360000014	0	1.886000037	1.886000037	0	42	G
5326	b	5	b y	0.767232671	y	1	0.02	0.02	0	3.835999966	3.835999966	0	43	G
5336	s	5	s b	0.618326116	b	1	0.07	0.07	0	0.870000005	0.870000005	0	44	G
5346	d	5	d l	0.253441404	l	1	0.07	0.07	0	0.751999974	0.751999974	0	45	G
5356	m	5	m q	0.83868977	q	1	0.07	0.07	0	0.852999985	0.852999985	0	46	G
5366	f	5	f i	0.003279724	i	1	0.07	0.07	0	1.353999972	1.353999972	0	47	G
5376	r	5	r g	0.352638907	g	1	0.129999995	0.129999995	0	2.236999989	2.236999989	0	48	G
5386	q	5	q a	0.70704119	a	1	0.039999999	0.039999999	0	2.236000061	2.236000061	0	49	G
5396	r	5	r p	0.936976557	p	1	0.340000004	0.340000004	0	2.436000109	2.436000109	0	50	G
5406	y	5	y i	0.57442749	i	1	0.540000021	0.540000021	0	4.868000031	4.868000031	0	51	G
5505	f	6	f l	0.28655235	l	1	0.119999997	0.119999997	0	6.919000149	6.919000149	0	0	G
5515	t	6	t r	0.986828721	r	1	0.029999999	0.029999999	0	1.868999958	1.868999958	0	1	G
5525	v	6	v k	0.776486855	k	1	0.050000001	0.050000001	0	0.635999978	0.635999978	0	2	G
5535	a	6	a m	0.194108472	m	1	0.400000006	0.400000006	0	1.753000021	1.753000021	0	3	G
5545	b	6	b b	0.622042046	b	1	0.959999979	0.959999979	0	1.519999981	1.519999981	0	4	G
5555	g	6	g b	0.575801976	b	1	0.050000001	0.050000001	0	2.319000006	2.319000006	0	5	G
